,Additional_Info,Airline,Arrival_Time,Date_of_Journey,Dep_Time,Destination,Duration,Price,Route,Source,Total_Stops
0,No info,IndiGo,01:10 22 Mar,24/03/2019,22:20,New Delhi,2h 50m,3897.0,BLR → DEL,Banglore,non-stop
1,No info,Air India,13:15,1/05/2019,05:50,Banglore,7h 25m,7662.0,CCU → IXR → BBI → BLR,Kolkata,2 stops
2,No info,Jet Airways,04:25 10 Jun,9/06/2019,09:25,Cochin,19h,13882.0,DEL → LKO → BOM → COK,Delhi,2 stops
3,No info,IndiGo,23:30,12/05/2019,18:05,Banglore,5h 25m,6218.0,CCU → NAG → BLR,Kolkata,1 stop
4,No info,IndiGo,21:35,01/03/2019,16:50,New Delhi,4h 45m,13302.0,BLR → NAG → DEL,Banglore,1 stop
5,No info,SpiceJet,11:25,24/06/2019,09:00,Banglore,2h 25m,3873.0,CCU → BLR,Kolkata,non-stop
6,In-flight meal not included,Jet Airways,10:25 13 Mar,12/03/2019,18:55,New Delhi,15h 30m,11087.0,BLR → BOM → DEL,Banglore,1 stop
7,No info,Jet Airways,05:05 02 Mar,01/03/2019,08:00,New Delhi,21h 5m,22270.0,BLR → BOM → DEL,Banglore,1 stop
8,In-flight meal not included,Jet Airways,10:25 13 Mar,12/03/2019,08:55,New Delhi,25h 30m,11087.0,BLR → BOM → DEL,Banglore,1 stop
9,No info,Multiple carriers,19:15,27/05/2019,11:25,Cochin,7h 50m,8625.0,DEL → BOM → COK,Delhi,1 stop
10,No info,Air India,23:00,1/06/2019,09:45,Cochin,13h 15m,8907.0,DEL → BLR → COK,Delhi,1 stop
11,No info,IndiGo,22:55,18/04/2019,20:20,Banglore,2h 35m,4174.0,CCU → BLR,Kolkata,non-stop
12,No info,Air India,13:55,24/06/2019,11:40,Kolkata,2h 15m,4667.0,MAA → CCU,Chennai,non-stop
13,In-flight meal not included,Jet Airways,09:20 10 May,9/05/2019,21:10,Banglore,12h 10m,9663.0,CCU → BOM → BLR,Kolkata,1 stop
14,No info,IndiGo,19:50,24/04/2019,17:15,Banglore,2h 35m,4804.0,CCU → BLR,Kolkata,non-stop
15,No info,Air India,19:15 04 Mar,3/03/2019,16:40,Cochin,26h 35m,14011.0,DEL → AMD → BOM → COK,Delhi,2 stops
16,No info,SpiceJet,13:15,15/04/2019,08:45,Cochin,4h 30m,5830.0,DEL → PNQ → COK,Delhi,1 stop
17,In-flight meal not included,Jet Airways,12:35 13 Jun,12/06/2019,14:00,Cochin,22h 35m,10262.0,DEL → BOM → COK,Delhi,1 stop
18,No info,Air India,19:15 13 Jun,12/06/2019,20:15,Cochin,23h,13381.0,DEL → CCU → BOM → COK,Delhi,2 stops
